name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Budapest, MagyarorszГЎg",2021-01-01,5,-2.2,2,4.3,-4.6,0.6,0.7,91.9,1.268,100,4.17,snow,0,0,,10.8,137,1012.3,47.1,7.8,27.2,2.2,2,,2021-01-01T07:31:42,2021-01-01T16:03:23,0.53,"Snow, Partially cloudy",Becoming cloudy in the afternoon with morning snow.,rain,"12847099999,12843099999,12846099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-01-02,6.1,0.1,3.6,4,-2.4,1.3,1.3,84.8,0,0,0,,0,0,,18,81.6,1016.5,83.6,9.8,26,2.1,1,,2021-01-02T07:31:39,2021-01-02T16:04:22,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-01-03,7.3,3.9,5.1,5,0.3,2.5,2.2,81.9,0.004,100,4.17,rain,0,0,25.2,15.3,91.5,1014,87.6,9.7,14.5,1.2,1,,2021-01-03T07:31:34,2021-01-03T16:05:23,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"12847099999,12843099999,12846099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-01-04,7.1,4.2,5.8,6.7,1.9,4.2,4.7,92.7,0.007,100,4.17,rain,0,0,,10.6,69.2,1013.2,87.4,7.7,11.9,0.9,1,,2021-01-04T07:31:27,2021-01-04T16:06:26,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"12847099999,12843099999,12846099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-01-05,6.2,3.8,4.8,5,0.4,2.6,2.9,87.1,0.005,100,4.17,rain,0,0,39.6,20.3,266.1,1010.7,87.6,8.9,19.7,1.6,1,,2021-01-05T07:31:16,2021-01-05T16:07:31,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"12847099999,12843099999,12846099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-01-06,5.1,2.8,3.6,5.1,-0.7,1.7,2.6,93.6,2.696,100,8.33,rain,0,0,32.4,15.6,102.3,1012.1,92.9,7.6,7.4,0.6,0,,2021-01-06T07:31:02,2021-01-06T16:08:39,0.76,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"12847099999,12843099999,12846099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-01-07,4.2,-2.8,1.6,3.3,-5,0.1,-0.8,85.1,0.541,100,8.33,"rain,snow",0,0,25.2,15.8,284,1014.8,51.9,8.6,32.7,2.7,2,,2021-01-07T07:30:46,2021-01-07T16:09:48,0.82,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"12847099999,12843099999,12846099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-01-08,2.9,-3,0.3,0.8,-3,-1.1,-1.3,89.8,0.143,100,12.5,"rain,snow",0,0,,9.9,343.5,1016.6,27.7,7.5,15,1.1,1,,2021-01-08T07:30:27,2021-01-08T16:10:58,0.87,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"12847099999,12843099999,12846099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-01-09,0.6,-5.4,-2.1,-0.4,-7.9,-3.2,-2.6,96.6,0,0,0,,0,0,,8,206.4,1021.5,47.9,2.2,43.1,3.7,3,,2021-01-09T07:30:05,2021-01-09T16:12:11,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-01-10,-1,-4.7,-1.9,-1.9,-7.6,-4.1,-2.9,93.2,0,0,0,,0,0,,9.2,41,1024.1,80.2,5.7,5.4,0.4,0,,2021-01-10T07:29:40,2021-01-10T16:13:25,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,LHBP,E3429,11880099999,12836099999,12839099999,11858099999"
"Budapest, MagyarorszГЎg",2021-01-11,2.8,-5.4,-1.6,2.7,-7.1,-3.6,-4.9,78.9,0,0,0,,0,0,,11.4,342.3,1021.8,54.4,9.4,42.2,3.6,2,,2021-01-11T07:29:13,2021-01-11T16:14:41,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,LHBP,E3429,11880099999,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-01-12,-1,-7,-4.1,-2.9,-9.7,-5.8,-5,93.2,0,0,0,,0,0,,10.3,239.9,1016.6,56.5,3.8,38.7,3.3,2,,2021-01-12T07:28:42,2021-01-12T16:15:59,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12756099999,12846099999,LHBP,E3429,11880099999,12836099999,12839099999,11858099999"
"Budapest, MagyarorszГЎg",2021-01-13,3.9,-1.1,1.1,-1.1,-4.2,-2.7,-2.8,76.3,0.189,100,8.33,"rain,snow",0,0,44.2,28.3,288.7,1011.7,52.3,8.6,44.4,3.8,3,,2021-01-13T07:28:10,2021-01-13T16:17:17,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"12847099999,12843099999,12846099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-01-14,1.9,-1.1,0.3,-1.3,-5.4,-4,-3.1,77.9,0.562,100,8.33,"rain,snow",1,0.6,43.2,29.7,298.2,1009.7,51.2,9,27.4,2.5,2,,2021-01-14T07:27:34,2021-01-14T16:18:38,0.01,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,snow,"12847099999,12843099999,12846099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-01-15,1.1,-6.3,-1.5,-2.8,-9.3,-5.4,-5.2,76.9,0,0,0,,0,1,32.4,23.7,319.3,1017.3,43.3,9.3,31,2.6,2,,2021-01-15T07:26:56,2021-01-15T16:19:59,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,LHBP,E3429,11880099999,12836099999,12839099999,11858099999"
"Budapest, MagyarorszГЎg",2021-01-16,-0.3,-7.2,-3.3,-4.9,-10.7,-7.7,-7.6,73.1,0,0,0,,0,0.4,32.4,20,308.1,1020.1,59.3,9.4,32.9,2.9,2,,2021-01-16T07:26:15,2021-01-16T16:21:22,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-01-17,-1.3,-6.9,-3.6,-3.5,-9.1,-6.9,-6.7,79.5,0.176,100,8.33,"rain,snow",0,0,28.8,16.6,315.3,1018.4,81.1,8.6,39,3.5,3,,2021-01-17T07:25:32,2021-01-17T16:22:46,0.1,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,snow,"12847099999,12843099999,12846099999,LHBP,E3429,11880099999,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-01-18,-1.8,-10.9,-5.7,-2.9,-14,-8,-9.1,77.8,0,0,0,,2,1.3,25.2,23.2,301.2,1023.5,50,8.6,44.3,4,3,,2021-01-18T07:24:46,2021-01-18T16:24:11,0.14,Partially cloudy,Becoming cloudy in the afternoon.,snow,"12847099999,12843099999,12846099999,LHBP,E3429,11880099999,12836099999,12839099999,11858099999"
"Budapest, MagyarorszГЎg",2021-01-19,3,-3.7,-0.2,0.9,-4.3,-1.8,-2.6,84,0.125,100,8.33,snow,0,1.8,,10.3,189.9,1021.2,95.4,7.7,24.8,2.2,1,,2021-01-19T07:23:58,2021-01-19T16:25:37,0.19,"Snow, Overcast",Cloudy skies throughout the day with snow clearing later.,rain,"12847099999,12843099999,12846099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-01-20,10.1,0.3,4.9,10.1,-1.5,3.3,0.2,72,0.01,100,4.17,"rain,snow",0,0.4,36,20.9,197.3,1016.5,79.7,9.9,60.8,5.1,3,,2021-01-20T07:23:07,2021-01-20T16:27:04,0.23,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"12847099999,12843099999,12846099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-01-21,13.2,5.7,8.3,13.2,2.1,6.1,1.7,63.9,0,0,0,,0,0,43.2,24.2,186.3,1012.6,76.7,10,47.4,4.1,2,,2021-01-21T07:22:14,2021-01-21T16:28:32,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,LHBP,11880099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-01-22,11.6,6.5,8.7,11.6,3.8,6.9,3.4,69.8,0,0,0,,0,0,36,26.9,167.1,1006.9,80.6,10,15.4,1.3,1,,2021-01-22T07:21:18,2021-01-22T16:30:01,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,LHBP,E3429,11880099999,12836099999,12839099999,11858099999"
"Budapest, MagyarorszГЎg",2021-01-23,11.7,4.7,8.3,11.7,4.7,7.1,4.6,77.8,0.791,100,12.5,rain,0,0,,17.8,132.4,1000.3,78.5,10,18.6,1.5,1,,2021-01-23T07:20:21,2021-01-23T16:31:30,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"12847099999,12843099999,12846099999,LHBP,E3429,11880099999,12836099999,12839099999,11858099999"
"Budapest, MagyarorszГЎg",2021-01-24,7.8,3.5,4.7,6.4,-0.1,3,1.4,80.4,0.383,100,8.33,rain,0,0,25.2,18.1,308,998.6,70.2,9.6,48.2,4,3,,2021-01-24T07:19:20,2021-01-24T16:33:00,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"12847099999,12843099999,12846099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-01-25,5.1,0.1,2.5,0.8,-4.9,-1.6,-1.9,73.6,1.014,100,4.17,"rain,snow",0,0,46.8,25.1,297.5,1000.9,80.9,9.4,58.3,5.1,3,,2021-01-25T07:18:18,2021-01-25T16:34:31,0.44,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"12847099999,12843099999,12846099999,LHBP,E3429,11880099999,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-01-26,3.8,-1.6,0.8,0.2,-5.7,-2.8,-4,71,0,0,0,,0,0,36,24.5,311.2,1011.4,63.6,10,55.3,4.8,3,,2021-01-26T07:17:13,2021-01-26T16:36:03,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-01-27,3.5,-2.3,0.4,-0.7,-5.4,-3.1,-3.8,74,0.004,100,4.17,"rain,snow",0,0,32.4,23.5,310.5,1014.8,50.2,10,54.5,4.9,3,,2021-01-27T07:16:07,2021-01-27T16:37:35,0.49,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"12847099999,12843099999,12846099999,LHBP,E3429,12836099999,12839099999"
