name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Budapest, MagyarorszГЎg",2020-01-01,6.7,-3.2,1.6,5.1,-3.2,-0.4,-2,78,0,0,0,,0,0,33,14.5,318.1,1032.9,32.1,9.2,47.2,4.1,3,,2020-01-01T07:31:41,2020-01-01T16:02:40,0.17,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-01-02,4.1,-5,-1.8,2.9,-7.6,-3.8,-3.3,90.5,0,0,0,,0,0,,11.6,117.5,1033.3,31.9,4.2,39.8,3.3,2,,2020-01-02T07:31:41,2020-01-02T16:03:37,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-01-03,-2,-3.4,-2.7,-2,-7,-4.7,-3.1,97.3,0,0,0,,0,0,28.8,9.5,115.7,1029.8,94.3,1.6,6.6,0.6,0,,2020-01-03T07:31:38,2020-01-03T16:04:36,0.26,Overcast,Cloudy skies throughout the day.,cloudy,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-01-04,5,-2.4,1,1.9,-6.1,-2.2,-0.6,89.9,0,0,0,,0,0,39.6,23.2,258.6,1023.5,82.4,5.3,27.4,2.2,2,,2020-01-04T07:31:32,2020-01-04T16:05:38,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-01-05,5,-1,2.6,0.7,-4.8,-1.9,-4.3,61.4,0.148,100,4.17,rain,0,0,56.9,29.5,325.4,1027.5,19.9,10,48.6,4,3,,2020-01-05T07:31:24,2020-01-05T16:06:42,0.36,Rain,Clear conditions throughout the day with early morning rain.,rain,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-01-06,3,-4.3,-1.2,1.1,-7.3,-3.2,-6.6,67.9,0,0,0,,0,0,,11,305,1033.7,2,10,32.9,2.9,2,,2020-01-06T07:31:12,2020-01-06T16:07:47,0.4,Clear,Clear conditions throughout the day.,clear-day,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-01-07,3,-6.9,-2.7,1,-10,-4.2,-6.5,76.3,0,0,0,,0,0,,13.7,167.5,1030.2,0.3,9.7,42.4,3.6,3,,2020-01-07T07:30:58,2020-01-07T16:08:55,0.44,Clear,Clear conditions throughout the day.,clear-day,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-01-08,2.8,-5.8,-2.2,2.8,-8.9,-3.4,-5.3,80.4,0,0,0,,0,0,,8.1,38.4,1033.3,5.4,7.9,42.3,3.4,2,,2020-01-08T07:30:41,2020-01-08T16:10:04,0.47,Clear,Clear conditions throughout the day.,clear-day,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-01-09,2.7,-3.5,-0.6,0.1,-6.7,-3.1,-2,90.2,0.006,100,4.17,"rain,snow",0,0,25.2,10.4,113.8,1029.1,67.5,3.3,22.7,2,1,,2020-01-09T07:30:21,2020-01-09T16:11:16,0.49,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-01-10,1,-3,-1.1,-1.8,-5.4,-3.4,-2.1,92.8,0,0,0,,0,0,25.2,11,65.8,1024.6,53.3,3,17,1.6,1,,2020-01-10T07:29:58,2020-01-10T16:12:29,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
